step,dense_attention,b7a1_native_sdm,b7a1_residualized_sdm,b8_native_sdm,b8_residualized_sdm
1,11.36019515991211,11.34692668914795,11.264113426208496,11.351865768432617,11.26557445526123
2,11.365716934204102,11.321163177490234,11.272021293640137,11.32951545715332,11.287166595458984
3,11.400558471679688,11.320301055908203,11.258988380432129,11.320805549621582,11.273828506469727
4,11.356476783752441,11.317540168762207,11.270679473876953,11.312077522277832,11.28596019744873
5,11.399673461914062,11.302202224731445,11.283963203430176,11.29864501953125,11.299817085266113
6,11.364049911499023,11.320151329040527,11.27573013305664,11.32188606262207,11.285957336425781
7,11.36381721496582,11.333531379699707,11.284914016723633,11.332955360412598,11.289427757263184
8,11.39422607421875,11.30278205871582,11.272167205810547,11.305754661560059,11.285372734069824
9,11.35540771484375,11.325549125671387,11.269546508789062,11.323354721069336,11.283893585205078
10,11.383255004882812,11.310928344726562,11.278949737548828,11.307579040527344,11.293718338012695
11,11.37374210357666,11.312357902526855,11.262117385864258,11.326876640319824,11.272065162658691
12,11.358781814575195,11.344456672668457,11.261002540588379,11.339493751525879,11.274923324584961
13,11.309587478637695,11.3089017868042,11.259099960327148,11.315747261047363,11.271743774414062
14,11.389911651611328,11.323444366455078,11.267251968383789,11.322806358337402,11.28547477722168
15,11.346383094787598,11.315441131591797,11.26271915435791,11.31950569152832,11.278830528259277
16,11.324438095092773,11.317386627197266,11.25550365447998,11.307809829711914,11.26992130279541
17,11.374624252319336,11.312498092651367,11.231271743774414,11.315923690795898,11.248716354370117
18,11.371015548706055,11.292245864868164,11.251373291015625,11.300185203552246,11.266922950744629
19,11.333033561706543,11.322218894958496,11.254344940185547,11.320008277893066,11.26103401184082
20,11.323053359985352,11.281173706054688,11.230329513549805,11.295766830444336,11.240015029907227
21,11.317159652709961,11.29531478881836,11.245080947875977,11.304889678955078,11.257240295410156
22,11.340980529785156,11.272905349731445,11.178413391113281,11.28083610534668,11.192180633544922
23,11.282744407653809,11.277268409729004,11.175697326660156,11.292537689208984,11.188491821289062
24,11.25507640838623,11.273073196411133,11.161514282226562,11.279268264770508,11.170293807983398
25,11.229233741760254,11.242141723632812,11.138859748840332,11.250518798828125,11.153876304626465
26,11.211458206176758,11.243391036987305,11.155489921569824,11.248235702514648,11.169822692871094
27,11.260361671447754,11.228981018066406,11.12321949005127,11.237834930419922,11.142850875854492
28,11.232566833496094,11.207419395446777,11.122088432312012,11.224957466125488,11.139440536499023
29,11.256158828735352,11.218172073364258,11.11808967590332,11.224334716796875,11.130817413330078
30,11.254538536071777,11.216121673583984,11.066189765930176,11.226043701171875,11.081932067871094
31,11.214559555053711,11.174049377441406,11.050164222717285,11.18067741394043,11.061378479003906
32,11.211871147155762,11.15579891204834,11.000429153442383,11.163064002990723,11.014638900756836
33,11.1869535446167,11.155646324157715,10.994327545166016,11.155963897705078,11.011062622070312
34,11.123205184936523,11.113977432250977,10.951725006103516,11.117560386657715,10.967032432556152
35,11.120994567871094,11.097161293029785,10.923673629760742,11.104803085327148,10.940038681030273
36,11.050575256347656,11.090499877929688,10.915153503417969,11.104798316955566,10.93359088897705
37,11.075834274291992,11.102588653564453,10.93734359741211,11.100133895874023,10.94106674194336
38,11.027450561523438,11.038067817687988,10.871931076049805,11.055959701538086,10.885110855102539
39,11.0416898727417,11.059293746948242,10.908053398132324,11.06613826751709,10.918036460876465
40,11.055249214172363,11.063760757446289,10.890857696533203,11.071294784545898,10.904068946838379
41,11.029484748840332,11.036060333251953,10.852387428283691,11.03812026977539,10.860831260681152
42,10.97174072265625,11.025274276733398,10.830911636352539,11.03878402709961,10.855254173278809
43,10.978958129882812,10.991531372070312,10.822030067443848,11.013872146606445,10.830520629882812
44,10.958555221557617,10.96216869354248,10.77827262878418,10.975393295288086,10.79306411743164
45,10.872611999511719,10.91597843170166,10.716331481933594,10.943902015686035,10.752143859863281
46,10.956976890563965,10.935226440429688,10.720590591430664,10.952646255493164,10.736387252807617
47,10.890840530395508,10.93643569946289,10.712455749511719,10.960088729858398,10.727945327758789
48,10.861105918884277,10.897435188293457,10.690985679626465,10.918859481811523,10.71225357055664
49,10.79464054107666,10.879570007324219,10.655195236206055,10.91181755065918,10.67347526550293
50,10.84560775756836,10.897582054138184,10.679524421691895,10.904520034790039,10.700179100036621
51,10.754756927490234,10.868743896484375,10.63443374633789,10.87341022491455,10.648628234863281
52,10.741355895996094,10.804292678833008,10.590087890625,10.834604263305664,10.620118141174316
53,10.738192558288574,10.81263542175293,10.561038970947266,10.829889297485352,10.577716827392578
54,10.764734268188477,10.794600486755371,10.542518615722656,10.80317497253418,10.555598258972168
55,10.675354957580566,10.76835823059082,10.500761032104492,10.80282974243164,10.520308494567871
56,10.700987815856934,10.741861343383789,10.484513282775879,10.764544486999512,10.498997688293457
57,10.706039428710938,10.740147590637207,10.471756935119629,10.751874923706055,10.475303649902344
58,10.611307144165039,10.71661376953125,10.464862823486328,10.741716384887695,10.48748779296875
